FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-06-10,Cobán,INS160101CV,INSDMCL1601001CONV,8.3,29.2,15.4,21.5,2.9,,86.0,4.5,5.0,8.3,270.0,653.6,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-11,Cobán,INS160101CV,INSDMCL1601001CONV,8.7,29.2,16.6,23.5,2.2,,73.0,7.0,6.0,4.7,270.0,653.7,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-12,Cobán,INS160101CV,INSDMCL1601001CONV,0.0,29.2,15.6,21.5,5.5,,76.0,7.1,7.0,7.3,45.0,653.2,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-13,Cobán,INS160101CV,INSDMCL1601001CONV,4.7,29.2,14.6,22.2,4.8,,79.0,7.6,5.0,5.0,0.0,653.4,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-14,Cobán,INS160101CV,INSDMCL1601001CONV,1.4,28.0,14.0,21.6,4.4,,77.0,6.5,5.0,3.7,0.0,654.3,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-15,Cobán,INS160101CV,INSDMCL1601001CONV,17.3,27.8,15.6,21.1,3.9,,83.0,3.6,7.0,6.3,0.0,653.9,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-16,Cobán,INS160101CV,INSDMCL1601001CONV,27.5,25.4,16.4,20.8,6.1,,85.0,1.5,8.0,3.7,0.0,652.9,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-17,Cobán,INS160101CV,INSDMCL1601001CONV,35.0,27.6,16.2,21.3,,,86.0,2.3,8.0,4.9,9.0,652.4,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-18,Cobán,INS160101CV,INSDMCL1601001CONV,57.8,28.6,16.2,21.7,4.5,,86.0,3.1,8.0,4.9,9.0,652.5,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-19,Cobán,INS160101CV,INSDMCL1601001CONV,22.2,27.2,16.0,21.5,,,81.0,4.9,7.0,2.5,0.0,653.7,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-20,Cobán,INS160101CV,INSDMCL1601001CONV,49.7,25.2,16.6,20.2,4.5,,87.0,1.0,8.0,2.5,0.0,654.0,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-21,Cobán,INS160101CV,INSDMCL1601001CONV,1.8,25.8,16.2,20.6,2.8,,84.0,2.9,8.0,6.2,9.0,653.8,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-22,Cobán,INS160101CV,INSDMCL1601001CONV,0.5,29.0,15.0,22.3,2.2,,76.0,8.8,8.0,6.2,45.0,654.2,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-23,Cobán,INS160101CV,INSDMCL1601001CONV,3.3,24.2,16.0,20.0,2.7,,79.0,0.0,8.0,2.5,0.0,654.6,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-24,Cobán,INS160101CV,INSDMCL1601001CONV,0.4,27.2,16.2,21.8,2.1,,73.0,7.8,7.0,8.7,90.0,654.1,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-25,Cobán,INS160101CV,INSDMCL1601001CONV,22.3,26.0,14.0,20.7,5.6,,82.0,6.7,6.0,2.3,0.0,653.5,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-26,Cobán,INS160101CV,INSDMCL1601001CONV,23.1,25.0,16.4,20.5,3.6,,92.0,1.0,8.0,6.0,9.0,652.5,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-27,Cobán,INS160101CV,INSDMCL1601001CONV,10.7,27.2,15.4,19.7,0.9,,91.0,4.5,7.0,0.0,0.0,652.8,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-28,Cobán,INS160101CV,INSDMCL1601001CONV,6.1,27.4,16.6,21.2,1.2,,84.0,1.5,8.0,6.0,9.0,653.6,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-29,Cobán,INS160101CV,INSDMCL1601001CONV,0.0,28.6,16.8,22.1,2.0,,79.0,6.5,7.0,7.3,45.0,653.4,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-06-30,Cobán,INS160101CV,INSDMCL1601001CONV,0.0,26.8,15.8,21.9,4.3,,79.0,3.0,8.0,0.0,0.0,653.8,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-01,Cobán,INS160101CV,INSDMCL1601001CONV,4.0,28.0,17.0,22.3,3.0,,82.0,5.0,7.0,7.4,9.0,654.2,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-02,Cobán,INS160101CV,INSDMCL1601001CONV,0.0,27.8,14.4,21.5,3.4,,76.0,8.6,7.0,2.5,0.0,654.3,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-03,Cobán,INS160101CV,INSDMCL1601001CONV,0.0,27.6,15.4,22.5,4.6,,76.0,7.2,8.0,7.4,42.5,654.6,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-04,Cobán,INS160101CV,INSDMCL1601001CONV,0.0,28.6,13.4,21.9,3.8,,76.0,7.5,6.0,8.6,45.0,655.1,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-05,Cobán,INS160101CV,INSDMCL1601001CONV,0.0,28.6,13.0,21.3,4.8,,78.0,7.5,6.0,2.5,0.0,654.6,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-06,Cobán,INS160101CV,INSDMCL1601001CONV,0.0,29.2,15.0,22.4,4.6,,78.0,7.4,7.0,4.9,90.0,654.1,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-07,Cobán,INS160101CV,INSDMCL1601001CONV,27.4,29.0,15.4,22.1,5.0,,78.0,5.6,7.0,2.5,0.0,654.1,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-08,Cobán,INS160101CV,INSDMCL1601001CONV,1.2,26.0,14.2,21.4,6.4,,79.0,5.5,7.0,9.7,45.0,655.4,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-09,Cobán,INS160101CV,INSDMCL1601001CONV,1.2,27.2,15.0,21.6,2.9,,64.0,6.5,6.0,4.7,45.0,655.3,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
2025-07-10,Cobán,INS160101CV,INSDMCL1601001CONV,,,15.4,17.0,4.3,,98.0,,8.0,0.0,0.0,655.7,,,,,15.4699201584,-90.4055175781,1323.0,CLIMATOLOGÍA
