FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-11-24,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,,,,,,,,,,,,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-11-25,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,33.5,13.5,23.8,,,78.0,,5.0,2.0,360.0,774.3,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-11-26,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,32.0,15.0,23.5,,,80.0,,7.0,2.0,315.0,775.2,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-11-27,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,30.0,16.5,22.5,,,78.0,,7.0,2.0,360.0,776.5,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-11-28,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,30.5,17.0,21.1,,,80.0,,7.0,2.0,360.0,776.5,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-11-29,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,29.5,15.5,22.5,,,75.0,,7.0,2.0,270.0,775.6,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-11-30,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,31.0,15.0,23.3,,,73.0,,6.0,2.0,360.0,774.6,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-12-01,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,32.0,16.5,24.4,,,76.0,,5.0,2.0,315.0,774.3,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-12-02,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,32.5,14.0,23.5,,,74.0,,6.0,2.0,360.0,774.8,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-12-03,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,30.5,18.5,23.4,,,75.0,,6.0,2.0,45.0,775.7,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-12-04,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,32.5,15.0,24.2,,,73.0,,4.0,2.0,45.0,517.2,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-12-05,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,32.0,11.5,23.0,,,70.0,,3.0,2.0,360.0,774.8,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-12-06,Sacapulas,INS141601CV,INSDMCL1416001CONV,0.0,33.0,12.5,23.8,,,72.0,,3.0,2.0,270.0,774.0,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-12-07,Sacapulas,INS141601CV,INSDMCL1416001CONV,6.1,33.5,15.5,24.7,,,77.0,,6.0,2.0,360.0,774.0,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
2025-12-08,Sacapulas,INS141601CV,INSDMCL1416001CONV,,,18.5,18.8,,,94.0,,8.0,2.0,270.0,775.9,,,,,15.2906208038,-91.0919723511,1180.0,CLIMATOLOGÍA
