FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-01-11,Mariscos,INS180501AT,INSDMCL1805001CONV,33.7,,,,,,,,8.0,3.0,90.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-12,Mariscos,INS180501AT,INSDMCL1805001CONV,1.3,,,,,,,,7.0,2.0,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-13,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,8.0,2.0,180.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-14,Mariscos,INS180501AT,INSDMCL1805001CONV,1.9,,,,,,,,7.0,2.0,90.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-15,Mariscos,INS180501AT,INSDMCL1805001CONV,5.6,,,,,,,,7.0,2.0,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-16,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,7.0,2.7,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-17,Mariscos,INS180501AT,INSDMCL1805001CONV,0.2,,,,,,,,6.0,2.0,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-18,Mariscos,INS180501AT,INSDMCL1805001CONV,4.5,,,,,,,,8.0,2.3,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-19,Mariscos,INS180501AT,INSDMCL1805001CONV,2.9,,,,,,,,8.0,2.3,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-20,Mariscos,INS180501AT,INSDMCL1805001CONV,12.2,,,,,,,,8.0,2.0,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-21,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,8.0,2.0,90.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-22,Mariscos,INS180501AT,INSDMCL1805001CONV,1.0,,,,,,,,7.0,2.0,90.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-23,Mariscos,INS180501AT,INSDMCL1805001CONV,0.1,,,,,,,,8.0,2.0,360.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-24,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,7.0,2.3,180.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-25,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,5.0,2.3,180.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-26,Mariscos,INS180501AT,INSDMCL1805001CONV,7.6,,,,,,,,7.0,2.0,45.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-27,Mariscos,INS180501AT,INSDMCL1805001CONV,21.1,,,,,,,,8.0,2.7,360.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-28,Mariscos,INS180501AT,INSDMCL1805001CONV,11.1,,,,,,,,8.0,2.3,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-29,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,8.0,2.0,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-30,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,8.0,2.0,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-01-31,Mariscos,INS180501AT,INSDMCL1805001CONV,0.2,,,,,,,,6.0,2.7,315.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-01,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,8.0,4.0,360.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-02,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,6.0,2.7,90.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-03,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,8.0,2.3,360.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-04,Mariscos,INS180501AT,INSDMCL1805001CONV,1.1,,,,,,,,8.0,2.0,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-05,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,8.0,2.7,9.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-06,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,8.0,3.0,360.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-07,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,7.0,2.3,315.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-08,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,7.0,2.3,135.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-09,Mariscos,INS180501AT,INSDMCL1805001CONV,1.5,,,,,,,,8.0,2.7,180.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-10,Mariscos,INS180501AT,INSDMCL1805001CONV,0.0,,,,,,,,6.0,2.0,180.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
2026-02-11,Mariscos,INS180501AT,INSDMCL1805001CONV,,,,,,,,,8.0,8.0,140.0,,,,,,15.4286603928,-89.0778121948,16.0,CLIMATOLOGÍA
