FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-02-20,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.2,5.2,17.0,5.5,,83.0,8.5,0.0,1.3,270.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-02-21,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.8,7.6,18.1,5.3,,82.0,8.4,0.0,2.0,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-02-22,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.8,24.8,10.6,18.2,5.1,,85.0,6.2,7.0,9.3,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-02-23,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.4,19.2,7.4,13.7,3.0,,85.0,0.0,8.0,11.3,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-02-24,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,24.2,8.4,16.7,2.1,,85.0,7.4,2.0,3.7,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-02-25,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.0,8.6,16.9,4.2,,83.0,6.2,6.0,3.7,270.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-02-26,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.6,6.0,16.4,4.3,,81.0,7.5,1.0,3.0,270.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-02-27,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.6,6.6,16.8,5.6,,84.0,8.4,2.0,0.7,90.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-02-28,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,26.6,10.4,18.3,5.2,,86.0,9.1,1.0,2.0,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-01,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,27.0,10.2,21.0,5.0,,79.0,8.5,0.0,1.5,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-02,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,24.4,6.2,16.9,4.0,,83.0,7.1,4.0,3.0,90.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-03,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.4,8.0,17.5,5.4,,83.0,8.6,3.0,2.0,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-04,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.6,6.6,17.7,5.0,,84.0,7.4,4.0,1.3,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-05,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,23.4,9.6,17.1,4.1,,82.0,6.3,5.0,2.0,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-06,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.2,12.4,18.6,4.6,,82.0,6.2,7.0,3.0,90.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-07,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,24.6,12.6,18.7,4.1,,82.0,7.1,4.0,2.0,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-08,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.0,11.4,18.1,3.1,,82.0,6.1,7.0,3.7,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-09,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,23.8,13.4,19.3,3.0,,83.0,8.4,5.0,3.0,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-10,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,23.0,8.6,16.6,5.5,,84.0,8.2,2.0,3.0,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-11,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,25.0,10.6,17.6,4.1,,85.0,8.4,3.0,0.7,270.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-12,Alameda Icta,INS040101CV,INSDMCL0401001CONV,1.0,23.4,13.6,17.8,5.1,,83.0,7.4,5.0,8.7,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-13,Alameda Icta,INS040101CV,INSDMCL0401001CONV,1.6,21.2,13.0,17.3,5.3,,84.0,0.0,6.0,1.3,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-14,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,24.4,11.6,17.6,2.3,,84.0,1.4,8.0,1.3,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-15,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,24.0,11.4,17.6,3.0,,81.0,2.1,7.0,1.3,270.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-16,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,27.2,10.4,18.9,4.1,,84.0,8.2,2.0,1.3,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-17,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,21.6,12.2,16.7,6.4,,83.0,4.4,5.0,3.7,360.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-18,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,24.2,12.6,17.4,4.0,,84.0,3.4,6.0,3.7,270.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-19,Alameda Icta,INS040101CV,INSDMCL0401001CONV,0.0,24.4,9.2,16.6,3.1,,83.0,3.4,7.0,3.7,270.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
2026-03-20,Alameda Icta,INS040101CV,INSDMCL0401001CONV,,,11.2,12.6,4.2,,98.0,,8.0,0.0,270.0,,,,,,14.6379356384,-90.8039703369,1750.0,CLIMATOLOGÍA
