FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-10-20,Los Esclavos,INS060101CV,INSDMCL0601001CONV,2.0,30.0,20.0,24.9,,,91.0,,7.0,4.7,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-21,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.2,30.6,19.8,24.8,,,93.0,,3.0,4.7,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-22,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,31.0,19.0,24.9,,,91.0,,7.0,4.7,180.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-23,Los Esclavos,INS060101CV,INSDMCL0601001CONV,2.5,30.4,17.4,24.1,,,89.0,,7.0,5.3,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-24,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.3,31.8,18.6,25.2,,,88.0,,3.0,3.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-25,Los Esclavos,INS060101CV,INSDMCL0601001CONV,1.0,32.2,17.0,25.0,,,87.0,,6.0,2.7,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-26,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,30.8,18.2,24.9,,,85.0,,6.0,5.3,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-27,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,30.6,19.0,25.2,,,88.0,,7.0,3.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-28,Los Esclavos,INS060101CV,INSDMCL0601001CONV,5.9,30.8,18.0,25.0,,,84.0,,5.0,6.7,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-29,Los Esclavos,INS060101CV,INSDMCL0601001CONV,12.6,30.4,19.8,24.5,,,89.0,,7.0,4.7,180.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-30,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,31.4,17.8,24.8,,,86.0,,5.0,3.3,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-10-31,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,31.8,16.6,24.4,,,83.0,,5.0,3.3,360.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-01,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,31.8,16.8,24.7,,,78.0,,5.0,2.7,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-02,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.2,31.0,16.0,23.5,,,84.0,,5.0,3.3,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-03,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,31.4,17.6,23.9,,,80.0,,8.0,3.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-04,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,30.8,18.0,25.1,,,80.0,,8.0,2.0,180.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-05,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,32.4,16.8,24.8,,,82.0,,4.0,4.7,270.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-06,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,33.6,16.6,24.9,,,79.0,,7.0,2.7,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-07,Los Esclavos,INS060101CV,INSDMCL0601001CONV,12.9,33.6,16.4,24.1,,,83.0,,5.0,3.3,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-08,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.2,31.0,19.0,24.3,,,87.0,,8.0,2.0,270.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-09,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,31.6,16.8,24.7,,,80.0,,5.0,4.0,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-10,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,32.0,19.6,25.3,,,75.0,,8.0,4.0,180.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-11,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,29.4,19.4,25.5,,,67.0,,8.0,10.7,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-12,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,28.8,14.6,22.7,,,75.0,,8.0,3.3,270.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-13,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,31.8,17.0,25.0,,,73.0,,8.0,5.3,360.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-14,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,31.2,16.0,23.9,,,85.0,,8.0,5.3,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-15,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,30.6,17.0,23.9,,,83.0,,7.0,5.3,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-16,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.5,30.2,17.6,24.3,,,81.0,,7.0,4.7,90.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-17,Los Esclavos,INS060101CV,INSDMCL0601001CONV,1.0,30.2,18.8,25.1,,,83.0,,7.0,4.0,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-18,Los Esclavos,INS060101CV,INSDMCL0601001CONV,5.1,30.4,21.2,24.9,,,91.0,,5.0,3.3,360.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-19,Los Esclavos,INS060101CV,INSDMCL0601001CONV,0.0,29.8,19.2,24.3,,,87.0,,5.0,4.7,9.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
2025-11-20,Los Esclavos,INS060101CV,INSDMCL0601001CONV,,,16.0,17.0,,,96.0,,0.0,2.0,360.0,,,,,,14.2527999878,-90.2782974243,737.0,CLIMATOLOGÍA
