FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2026-02-18,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,3.0,,,9.5,0.0,2.7,45.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-19,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,4.0,,,10.0,0.0,0.7,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-20,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,3.8,,,11.0,0.0,1.3,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-21,Chinique,INS140301CV,INSDMCL1403001CONV,15.4,,,,3.0,,,9.5,1.0,0.0,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-22,Chinique,INS140301CV,INSDMCL1403001CONV,0.2,,,,5.3,,,7.7,4.0,4.0,360.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-23,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,3.8,,,0.5,7.0,4.0,360.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-24,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,0.0,,,9.5,3.0,4.0,360.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-25,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,3.8,,,9.5,5.0,0.0,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-26,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,4.2,,,10.8,2.0,0.7,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-27,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,4.0,,,7.5,3.0,2.7,9.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-02-28,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,4.9,,,10.1,0.0,1.3,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-01,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,4.8,,,9.5,1.0,2.7,9.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-02,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,4.1,,,9.1,2.0,0.7,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-03,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,3.1,,,9.1,3.0,2.0,45.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-04,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,3.2,,,10.0,5.0,2.7,9.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-05,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,3.6,,,7.5,2.0,1.3,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-06,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,4.8,,,8.3,5.0,2.0,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-07,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,2.2,,,8.0,6.0,3.3,360.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-08,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,4.4,,,8.2,3.0,3.3,360.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-09,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,4.2,,,10.0,3.0,2.0,360.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
2026-03-10,Chinique,INS140301CV,INSDMCL1403001CONV,0.0,,,,3.8,,,8.3,4.0,1.3,0.0,,,,,,15.0467500687,-91.0196075439,1880.0,CLIMATOLOGÍA
