FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-11-18,Cubulco,INS150401CV,INSDMCL1504001CONV,0.1,33.6,19.4,25.8,,,,,3.0,2.0,9.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-19,Cubulco,INS150401CV,INSDMCL1504001CONV,3.8,31.2,19.0,23.4,,,,,8.0,3.7,90.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-20,Cubulco,INS150401CV,INSDMCL1504001CONV,0.0,30.6,16.8,22.5,,,,,4.0,3.7,270.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-21,Cubulco,INS150401CV,INSDMCL1504001CONV,0.0,31.2,15.8,23.7,,,,,4.0,2.0,360.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-22,Cubulco,INS150401CV,INSDMCL1504001CONV,0.0,28.8,13.4,21.7,,,,,7.0,2.0,360.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-23,Cubulco,INS150401CV,INSDMCL1504001CONV,0.3,29.8,14.4,22.1,,,,,6.0,2.0,90.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-24,Cubulco,INS150401CV,INSDMCL1504001CONV,0.0,31.4,13.6,22.9,,,,,2.0,2.0,9.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-25,Cubulco,INS150401CV,INSDMCL1504001CONV,0.0,31.8,12.4,23.1,,,,,4.0,2.0,90.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-26,Cubulco,INS150401CV,INSDMCL1504001CONV,0.0,29.2,13.4,22.0,,,,,6.0,2.0,9.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-27,Cubulco,INS150401CV,INSDMCL1504001CONV,0.6,25.6,16.6,21.1,,,,,8.0,2.0,9.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-28,Cubulco,INS150401CV,INSDMCL1504001CONV,0.7,23.4,16.4,19.9,,,,,8.0,2.0,270.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-29,Cubulco,INS150401CV,INSDMCL1504001CONV,0.0,28.4,16.0,21.9,,,,,7.0,2.0,360.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-11-30,Cubulco,INS150401CV,INSDMCL1504001CONV,0.0,29.6,17.0,23.8,,,,,4.0,3.7,360.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-12-01,Cubulco,INS150401CV,INSDMCL1504001CONV,0.0,31.6,16.0,22.9,,,,,3.0,2.0,360.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
2025-12-02,Cubulco,INS150401CV,INSDMCL1504001CONV,,32.0,15.4,23.9,,,,,3.0,2.0,360.0,,,,,,15.1090230942,-90.6205825806,994.0,CLIMATOLOGÍA
