FECHA,NOMBRE_ESTACIÓN,CODIGO,CODIGO_INSIVUMEH,PRECIPITACIÓN,TEMPERATURA_MÁXIMA,TEMPERATURA_MÍNIMA,TEMPERATURA_MEDIA,EVAPORACIÓN_TANQUE,EVAPORACIÓN_PICHE,HUMEDAD_RELATIVA,BRILLO_SOLAR,NUBOSIDAD,VELOCIDAD_VIENTO,DIRECCIÓN_VIENTO,PRESIÓN_ATMOSFÉRICA,TEMPERATURA_SUELO_5CM,TEMPERATURA_SUELO_50CM,TEMPERATURA_SUELO_100CM,RADIACIÓN,LATITUD,LONGITUD,ALTITUD,FUENTE
2025-06-30,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,30.3,,,,,,8.6,9.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-01,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,30.0,,,,,,7.4,225.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-02,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,29.7,,,,,,4.9,0.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-03,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,29.7,,,,,,7.4,9.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-04,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,29.6,,,,,,7.4,270.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-05,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,29.3,,,,,,6.2,270.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-06,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,28.4,,,,,,7.4,225.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-07,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,29.0,,,,,,6.2,180.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-08,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,28.3,,,,,,2.5,0.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-09,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,28.9,,,,,,4.9,9.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-10,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,29.3,,,,,,6.2,225.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
2025-07-11,San José Aeropuerto,INS050901CV,INSDMCL0509001CONV,0.0,,,28.9,,,,,,6.2,0.0,,,,,,13.9366645813,-90.8352661133,6.0,CLIMATOLOGÍA
